CIK#,Ticker,Subsidiaries
1000228,hsic,"BioHorizons, Inc."
1000228,hsic,"Camlog USA, Inc."
1000228,hsic,Exan Enterprises Inc.
1000228,hsic,"General Injectable & Vaccines,
Inc."
1000228,hsic,"Handpiece Parts & Repairs, Inc."
1000228,hsic,"Henry Schein Europe, Inc."
1000228,hsic,"Henry Schein Latin America Pacific Rim, Inc."
1000228,hsic,"Henry Schein Medical Systems, Inc."
1000228,hsic,Henry Schein Practice Solution Inc.
1000228,hsic,HS Brand Management Inc.
1000228,hsic,"HS TM Holdings, LLC"
1000228,hsic,"Project Helium Holdings, LLC"
1000228,hsic,Project Spartan Holdings Corp.
1000228,hsic,SG Healthcare Corp.
1001115,geos,"Geospace Technologies Canada, Inc."
1001115,geos,Geospace Technologies Corporation Azerbaijan Branch
1001115,geos,"Geospace Engineering Resources International, Inc."
1001115,geos,Geospace Finance Corp.
1001115,geos,GTC Inc. Beijing Representative Office
1001115,geos,Exile Technologies Limite
1001115,geos,"Geospace J.V., Inc."
1001115,geos,"Geospace Technologies Eurasia, LLC"
1001115,geos,"Geospace Technologies, Sucursal Sudamericana LLC"
1001115,geos,Geospace Technologies Sucursal Sudamericana
1001115,geos,Geospace Brasil Equipmentos Sismicos EIRELI
1001115,geos,Aquana LLC
1001115,geos,"Quantum Technology Sciences, Inc."
1001907,astc,"Astrogenetix, Inc."
1001907,astc,1st Detect Corporation
1001907,astc,"Medikinetix, Inc."
1001907,astc,Astral Images Corporation
1001907,astc,"Astrotech Technologies, Inc."
1001907,astc,BreathTech Corporation
1001907,astc,AgLAB Inc.
100493,tsn,"WBA Analytical Laboratories, Inc. (formerly known as FPPCI Acquisition, Inc.)"
100493,tsn,"Global Employment Services, Inc."
100493,tsn,National Comp Care Inc.
100493,tsn,Oaklawn Capital Corporation
100493,tsn,"The Pork Group, Inc."
100493,tsn,TyNet Corporation
100493,tsn,"Tyson Breeders, Inc."
100493,tsn,"Tyson International Company, Ltd."
100493,tsn,"Tyson Mexican Original, Inc."
100493,tsn,"Tyson Pet Products, Inc."
100493,tsn,"Tyson Poultry, Inc."
100493,tsn,Tyson Receivables Corporation
100493,tsn,"Tyson Sales and Distribution, Inc."
100493,tsn,"Tyson Shared Services, Inc."
100493,tsn,"Tyson (Shanghai) Enterprise Management Consulting Co., Ltd"
100493,tsn,"Tyson Chicken, Inc. (Subsidiary of Tyson Foods, Inc.)"
100493,tsn,"Hudson Midwest Foods, Inc."
100493,tsn,"Tyson Farms, Inc. (Subsidiary of Tyson Foods, Inc.)"
100493,tsn,"Central Industries, Inc."
100493,tsn,"Tyson Fresh Meats, Inc. (Subsidiary of Tyson Foods, Inc.)"
100493,tsn,"Tyson Processing Services, Inc."
100493,tsn,The IBP Foods Co.
100493,tsn,"Tyson Hog Markets, Inc."
100493,tsn,"IBP Caribbean, Inc."
100493,tsn,IBP Redevelopment Corporation
100493,tsn,Tyson Service Center Corp.
100493,tsn,"Tyson of Wisconsin, LLC"
100493,tsn,"Madison Foods, Inc."
100493,tsn,"PBX, inc."
100493,tsn,"Rural Energy Systems, Inc."
100493,tsn,"Texas Transfer, Inc."
100493,tsn,"Tyson International Service Center, Inc. (Subsidiary of Tyson Fresh Meats, Inc.)"
100493,tsn,"Tyson International Service Center, Inc. Asia"
100493,tsn,"Tyson International Service Center, Inc. Europe"
100493,tsn,"IBP Foodservice, L.L.C.
(78% owned by Tyson Fresh Meats, Inc.; 22% owned by IBP Caribbean, Inc.)"
100493,tsn,"Foodbrands America, Inc. (Subsidiary of IBP Foodservice, L.L.C.)"
100493,tsn,The Bruss Company
100493,tsn,CBFA Management Corp.
100493,tsn,"Foodbrands Supply Chain Services, Inc."
100493,tsn,"Wilton Foods, Inc."
100493,tsn,"Zemco Industries, Inc."
100493,tsn,"Tyson Deli, Inc. (Subsidiary of Foodbrands America, Inc.)"
100493,tsn,"Tyson Prepared Foods, Inc."
100493,tsn,"Tyson Refrigerated Processed Meats, Inc.
(Subsidiary of Foodbrands America, Inc.)"
100493,tsn,"Carolina Brand Foods, LLC"
100493,tsn,"DFG Foods, Inc. (Subsidiary of Foodbrands America, Inc.)"
100493,tsn,"DFG Foods, LLC"
100493,tsn,"New Canada Holdings, Inc.
(87.52% owned by Tyson Fresh Meats, Inc.;
12.48% owned by Cobb-Vantress, Inc.)"
100493,tsn,Tyson China Holding 3 Limited
100493,tsn,"Haimen Tyson Poultry Development Co., Ltd."
100493,tsn,"Jiangsu Tyson Foods Co., Ltd."
100493,tsn,"Tyson International Holding Company
(Subsidiary of New Canada Holdings, Inc.)"
100493,tsn,Oaklawn Sales Ltd.
100493,tsn,"Tyson India Holdings, Ltd."
100493,tsn,Tyson China Holding 2 Limited
100493,tsn,"Tyson China Holding Limited
(Subsidiary of Tyson International Holding Company)"
100493,tsn,"Changyi Tyson Xinchang Foods Co., Ltd."
100493,tsn,"Changyi Tyson Xinchang Poultry Co., Ltd."
100493,tsn,"Changyi Tyson Xinsheng Foods Co., Ltd."
100493,tsn,"Rizhao Tyson Xinchang Poultry Company, Ltd."
100493,tsn,"Shandong Tyson Xinchang Foods Company, Ltd."
100493,tsn,"Shandong Tyson Yuansheng Duck Co., Ltd."
100493,tsn,"Shandong Tyson Shengde Foods Co., Ltd."
100493,tsn,"Weifang Tyson Xinchang Feed Co., Ltd."
100493,tsn,"Tyson International Holding SÃ¡rl (Subsidiary of New Canada Holdings, Inc.)"
100493,tsn,Tyson Global Holding SÃ¡rl (Subsidiary of Tyson International Holdings SÃ¡rl)
100493,tsn,"Tyson Delaware Holdings, LLC"
100493,tsn,Tyson Americas Holding SÃ¡rl
100493,tsn,"Tyson International Holding S.C.A.
(.1% owned by Tyson Americas Holdings SÃ¡rl;
99.9% owned by Tyson Global Holding SÃ¡rl)"
100493,tsn,Cobb-Vantress Brasil Ltda.
100493,tsn,Hybro Genetics Brasil Ltda.
100493,tsn,Tyson Do Brasil Alimentos Ltda.
100493,tsn,Tyson Brasil Investimentos I Ltda.
100493,tsn,Tyson Brasil Investimentos II Ltda.
100493,tsn,Tyson Brasil Investimentos III Ltda.
100493,tsn,Cobb Europe B.V.
100493,tsn,IBP Finance Company of Canada (Subsidiary of Tyson Americas Holding SÃ¡rl)
100493,tsn,Alberta Farm Industries ULC (Subsidiary of IBP Finance Company of Canada)
100493,tsn,Tyson Canada Finance LP
100493,tsn,"Provemex Holdings, LLC"
100493,tsn,1385606 Alberta ULC
100493,tsn,Alberta Feeders Partnership
100493,tsn,Cobb Breeders B.V. (Subsidiary of Alberta Farm Industries ULC)
100493,tsn,Hybro B.V.
100493,tsn,Avex S.A.
100493,tsn,Fortune G-P Farms Ltd.
100493,tsn,Cobb Europe Limited (Subsidiary of Alberta Farm Industries ULC)
100493,tsn,Cobb France Eurl
100493,tsn,Cobb Poland B.V. Sp. z o.o
100493,tsn,JOINT VENTURES/PARTNERSHIPS
100493,tsn,Cactus Argentina S.A.
100493,tsn,"Carneco Foods, LLC"
100493,tsn,Dorada Poultry LLC
100493,tsn,"Dynamic Fuels, LLC"
100493,tsn,"Exportaciones Agroindustriales Argentinas, S.A."
100493,tsn,Godrej Tyson Foods Limited
100493,tsn,"Nacrail, LLC"
100493,tsn,"Professor Connorâs, Inc."
100493,tsn,Shandong Sandâs Food and Development Co. Ltd.
100493,tsn,Shandong Tyson Da Long Food Company Limited
100493,tsn,"TYSON DE MEXICO, S. DE R.L. DE C.V."
100493,tsn,"Tyson de Mexico, S. de R.L. de C.V."
100493,tsn,"Avicultores Tecnicos, S. de R.L. de C.V."
100493,tsn,"Comercializadora Avemex, S. de R.L. de C.V."
100493,tsn,"Corporativo Orvin, S. de R.L. de C.V."
100493,tsn,"Empresas Provemex, S. de R.L. de C.V."
100493,tsn,"Laboral Gomez Palantina, S. de R.L. de C.V."
100493,tsn,"Provemex Avicola, S. de R.L. de C.V."
100493,tsn,"Cobb-Vantress, Inc."
100493,tsn,"Cobb-Vantress, Inc.
(Subsidiary of Tyson Foods, Inc.)"
100493,tsn,Cobb Asia (Thailand) Limited
100493,tsn,"Cobb Caribe, S.A."
100493,tsn,Cobb Espanola SA
100493,tsn,Cobb-Vantress GmbH
100493,tsn,Gen Ave S.A.
100493,tsn,"Matsusaka Farm Co., Ltd."
100493,tsn,"Progenitores Avicolas, C.A."
100493,tsn,Venco Research and Breeding Farm Limited
100493,tsn,Reproductores Cobb S.A.
